Intensity,X,Z,ImageIndex
1020.4395,31.233917,5.5367346,1
1443.8494,19.873972,6.947536,1
801.17657,21.344597,8.1778288,1
1102.6406,30.752398,7.2549114,1
696.8407,16.318888,9.5988817,1
1078.5103,15.192924,11.249456,1
707.95032,25.618217,11.003261,1
715.35791,17.916307,12.673415,1
922.63129,14.206097,17.91386,1
827.245,21.543394,16.887674,1
1726.7196,9.3859396,19.843012,1
716.22809,22.136478,19.276012,1
713.56818,44.017029,20.400377,1
833.24072,43.152916,22.085947,1
1353.8549,7.8988647,24.09552,1
830.8017,12.718055,24.633541,1
773.93481,16.149836,25.006334,1
797.89832,41.829365,27.200632,1
1323.1759,5.7953987,28.173611,1
888.44275,42.08139,29.031221,1
896.70026,15.511267,30.785538,1
695.76135,36.085125,30.748596,1
823.48486,45.325447,32.246861,1
770.89374,12.080285,33.135342,1
850.32367,36.0481,34.080963,1
1163.0701,7.7399445,37.984806,1
1079.3011,14.506678,37.922791,1
795.47644,4.4451222,41.328949,1
755.52484,5.8026061,45.048428,1
765.40741,32.535175,48.064331,1
1029.4769,6.7339182,50.246891,1
1149.0978,8.1549873,51.133553,1
727.42993,16.399132,52.254494,1
1092.8925,4.7300153,52.942669,1
987.81311,54.297703,54.549362,1
847.17743,18.69042,57.947464,1
831.12787,17.062624,58.753349,1
1092.5743,46.413891,60.985176,1
1048.7737,10.085681,63.736488,1
828.69702,11.32198,64.011421,1
2324.0256,21.815321,63.653931,1
709.42108,34.366348,64.051971,1
1285.8445,45.915703,63.888565,1
2685.1165,1.8631401,65.073616,1
867.078,23.718449,64.297714,1
1043.8921,46.733482,64.405151,1
730.73193,19.813112,70.972427,1
1127.1074,49.391785,74.596451,1
1139.1315,5.6194992,75.593544,1
739.81799,37.183125,75.918259,1
827.55096,11.487026,76.821838,1
881.09808,36.789803,78.885567,1
958.47211,7.7249899,79.858871,1
720.68073,6.1272888,90.019783,1
1080.5647,10.800119,90.584404,1
681.31427,12.897511,90.958672,1
715.69208,41.233589,92.670883,1
898.35803,42.482822,93.132469,1
786.64966,5.5535245,94.485741,1
715.26331,16.749287,94.957306,1
832.23767,45.643642,94.968636,1
864.53772,10.340352,96.4841,1
681.65491,12.180152,104.72796,1
2565.2825,8.2479477,106.53859,1
1953.4684,10.103676,111.49901,1
882.10229,16.98984,112.01244,1
813.72968,10.494557,113.39828,1
2447.3604,31.279869,5.5040817,2
3096.2078,19.998451,6.9094024,2
2794.1257,30.663288,7.288682,2
2387.8403,27.802376,8.670167,2
3132.6887,15.171469,11.136996,2
